,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
0,Arecanut,1997,Whole Year ,Assam,73814.0,50000,2051.4,7024878.38,22882.34,0.796086957
1,Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685,2051.4,631643.29,2057.47,0.710434783
2,Castor seed,1997,Kharif     ,Assam,796.0,22,2051.4,75755.32,246.76,0.238333333
4,Cotton(lint),1997,Kharif     ,Assam,1739.0,794,2051.4,165500.63,539.09,0.420909091
5,Dry chillies,1997,Whole Year ,Assam,13587.0,9073,2051.4,1293074.79,4211.97,0.643636364
6,Gram,1997,Rabi       ,Assam,2979.0,1507,2051.4,283511.43,923.49,0.465454545
8,Linseed,1997,Rabi       ,Assam,10098.0,5158,2051.4,961026.66,3130.38,0.461363636
9,Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,1828786.72,5956.96,0.615652174
10,Mesta,1997,Kharif     ,Assam,5915.0,29003,2051.4,562930.55,1833.65,4.568947368
11,Niger seed,1997,Whole Year ,Assam,9914.0,5076,2051.4,943515.38,3073.34,0.482352941
12,Onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,745371.44,2427.92,2.342608696
13,Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,50000,2051.4,10306625.49,33572.07,0.520869565
15,Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,50000,2051.4,26580219.64,86580.52,0.554782609
17,Rice,1997,Summer     ,Assam,174974.0,50000,2051.4,16652275.58,54241.94,1.060434783
19,Sesamum,1997,Whole Year ,Assam,15765.0,8257,2051.4,1500355.05,4887.15,0.487391304
20,Small millets,1997,Kharif     ,Assam,10490.0,5391,2051.4,998333.3,3251.9,0.473
22,Sweet potato,1997,Whole Year ,Assam,9380.0,32618,2051.4,892694.6,2907.8,3.440434783
23,Tapioca,1997,Whole Year ,Assam,2465.0,11728,2051.4,234594.05,764.15,4.41826087
24,Tobacco,1997,Whole Year ,Assam,433.0,26,2051.4,41208.61,134.23,0.38
25,Turmeric,1997,Whole Year ,Assam,10071.0,6974,2051.4,958457.07,3122.01,0.67
26,Wheat,1997,Rabi       ,Assam,84698.0,50000,2051.4,8060708.66,26256.38,1.25952381
27,Arecanut,1997,Whole Year ,Karnataka,93100.0,50000,1266.7,8860327.0,28861.0,1.293571429
28,Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,50000,1266.7,40143657.7,130761.1,0.268235294
29,Bajra,1997,Kharif     ,Karnataka,301149.0,50000,1266.7,28660350.33,93356.19,0.404545455
30,Bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81
31,Black pepper,1997,Kharif     ,Karnataka,3825.0,924,1266.7,364025.25,1185.75,0.4375
32,Cardamom,1997,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.058571429
33,Coriander,1997,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.89,5368.27,0.121333333
34,Dry chillies,1997,Kharif     ,Karnataka,186579.0,50000,1266.7,17756723.43,57839.49,1.078333333
35,Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444
36,Garlic,1997,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.37,1568.91,1.585
37,Ginger,1997,Kharif     ,Karnataka,3619.0,4745,1266.7,344420.23,1121.89,1.262307692
39,Groundnut,1997,Rabi       ,Karnataka,192416.0,50000,1266.7,18312230.72,59648.96,1.133333333
40,Horse-gram,1997,Kharif     ,Karnataka,178872.0,50000,1266.7,17023248.24,55450.32,0.45
41,Horse-gram,1997,Rabi       ,Karnataka,163173.0,50000,1266.7,15529174.41,50583.63,0.514705882
44,Jowar,1997,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091
46,Maize,1997,Rabi       ,Karnataka,48844.0,50000,1266.7,4648483.48,15141.64,1.98
47,Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286
49,Ragi,1997,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222
50,Ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778
52,Rice,1997,Rabi       ,Karnataka,53889.0,50000,1266.7,5128616.13,16705.59,2.073846154
55,Turmeric,1997,Whole Year ,Karnataka,4342.0,24108,1266.7,413228.14,1346.02,4.452941176
56,Wheat,1997,Rabi       ,Karnataka,250698.0,50000,1266.7,23858928.66,77716.38,0.548333333
57,Arecanut,1997,Whole Year ,Kerala,76145.0,50000,3252.4,7246719.65,23604.95,1.147857143
58,Black pepper,1997,Whole Year ,Kerala,173855.0,50000,3252.4,16545780.35,53895.05,0.240714286
59,Cashewnut,1997,Whole Year ,Kerala,96073.0,50000,3252.4,9143267.41,29782.63,0.589285714
62,Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116,3818.2,910681.73,2966.39,1.245714286
63,Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683,3818.2,82322.05,268.15,0.806666667
64,Banana,1997,Whole Year ,Meghalaya,5239.0,50000,3818.2,498595.63,1624.09,11.20714286
65,Castor seed,1997,Rabi       ,Meghalaya,30.0,15,3818.2,2855.1,9.3,0.49
66,Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.48,2338.64,0.796666667
67,Dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106,3818.2,168070.22,547.46,0.64
68,Ginger,1997,Kharif     ,Meghalaya,7357.0,45260,3818.2,700165.69,2280.67,6.054285714
69,Gram,1997,Rabi       ,Meghalaya,443.0,270,3818.2,42160.31,137.33,0.613333333
70,Jute,1997,Kharif     ,Meghalaya,4243.0,34683,3818.2,403806.31,1315.33,8.436666667
71,Linseed,1997,Kharif     ,Meghalaya,50.0,22,3818.2,4758.5,15.5,0.44
72,Maize,1997,Kharif     ,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714
73,Mesta,1997,Kharif     ,Meghalaya,4688.0,21558,3818.2,446156.96,1453.28,4.68
74,Mesta,1997,Whole Year ,Meghalaya,861.0,713,3818.2,81941.37,266.91,0.7525
75,Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511,3818.2,181679.53,591.79,0.777142857
76,Potato,1997,Whole Year ,Meghalaya,20764.0,50000,3818.2,1976109.88,6436.84,8.641428571
77,Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914.0,4467,3818.2,658005.38,2143.34,0.608571429
78,Rice,1997,Kharif     ,Meghalaya,105170.0,50000,3818.2,10009028.9,32602.7,1.378571429
79,Sesamum,1997,Kharif     ,Meghalaya,1326.0,688,3818.2,126195.42,411.06,0.575714286
80,Small millets,1997,Kharif     ,Meghalaya,2804.0,2237,3818.2,266856.68,869.24,0.861428571
81,Soyabean,1997,Kharif     ,Meghalaya,898.0,814,3818.2,85462.66,278.38,0.921428571
82,Sugarcane,1997,Whole Year ,Meghalaya,82.0,225,3818.2,7803.94,25.42,2.352
83,Sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978,3818.2,496026.04,1615.72,3.221428571
84,Tapioca,1997,Whole Year ,Meghalaya,3959.0,21087,3818.2,376778.03,1227.29,6.537142857
85,Tobacco,1997,Rabi       ,Meghalaya,742.0,505,3818.2,70616.14,230.02,0.618
86,Turmeric,1997,Whole Year ,Meghalaya,1401.0,7126,3818.2,133333.17,434.31,5.425714286
87,Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385
88,Arecanut,1997,Whole Year ,West Bengal,8058.0,12423,1852.9,766879.86,2497.98,1.691764706
89,Arhar/Tur,1997,Whole Year ,West Bengal,3630.0,2181,1852.9,345467.1,1125.3,0.777692308
90,Bajra,1997,Kharif     ,West Bengal,207.0,95,1852.9,19700.19,64.17,0.426666667
91,Barley,1997,Whole Year ,West Bengal,6116.0,5034,1852.9,582059.72,1895.96,1.68
92,Cardamom,1997,Whole Year ,West Bengal,2674.0,7,1852.9,254484.58,828.94,0.0
93,Castor seed,1997,Whole Year ,West Bengal,660.0,46,1852.9,62812.2,204.6,0.07
95,Cotton(lint),1997,Kharif     ,West Bengal,26000.0,50000,1852.9,2474420.0,8060.0,2.0
96,Dry chillies,1997,Whole Year ,West Bengal,64034.0,50000,1852.9,6094115.78,19850.54,0.942777778
97,Gram,1997,Rabi       ,West Bengal,25485.0,16994,1852.9,2425407.45,7900.35,0.5975
98,Groundnut,1997,Whole Year ,West Bengal,29615.0,38672,1852.9,2818459.55,9180.65,1.13
99,Horse-gram,1997,Kharif     ,West Bengal,5645.0,2556,1852.9,537234.65,1749.95,0.438888889
100,Jowar,1997,Whole Year ,West Bengal,948.0,450,1852.9,90221.16,293.88,0.482
102,Khesari,1997,Rabi       ,West Bengal,25261.0,28460,1852.9,2404089.37,7830.91,1.095882353
103,Linseed,1997,Whole Year ,West Bengal,16486.0,4210,1852.9,1568972.62,5110.66,0.251538462
104,Maize,1997,Whole Year ,West Bengal,35469.0,50000,1852.9,3375584.73,10995.39,2.658461538
105,Masoor,1997,Rabi       ,West Bengal,51202.0,35040,1852.9,4872894.34,15872.62,0.662352941
106,Mesta,1997,Kharif     ,West Bengal,9689.0,50000,1852.9,922102.13,3003.59,9.154166667
107,Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711,1852.9,141803.3,461.9,0.548888889
108,Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710,1852.9,311110.73,1013.39,0.542857143
109,Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303,1852.9,947798.03,3087.29,0.046
111,Niger seed,1997,Whole Year ,West Bengal,6512.0,3522,1852.9,619747.04,2018.72,0.40375
112,Other Kharif pulses,1997,Kharif     ,West Bengal,1279.0,725,1852.9,121722.43,396.49,0.585
114,Ragi,1997,Autumn     ,West Bengal,12607.0,15330,1852.9,1199808.19,3908.17,0.986
115,Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123.0,50000,1852.9,31132295.91,101408.13,0.718333333
119,Safflower,1997,Whole Year ,West Bengal,10800.0,3000,1852.9,1027836.0,3348.0,0.2975
120,Sannhamp,1997,Whole Year ,West Bengal,2015.0,9073,1852.9,191767.55,624.65,4.598571429
121,Sesamum,1997,Whole Year ,West Bengal,127913.0,50000,1852.9,12173480.21,39653.03,0.649444444
